diagnostico_original,diagnostico_normalizado,diagnostico_padronizado,n_registros
Artrite Reumatoide,artrite reumatoide,Artrite reumatoide,23
Lúpus Eritematoso,lupus eritematoso,Lúpus eritematoso,15
Espondiloartrite,espondiloartrite,Espondiloartrite,14
Lúpus Eritematoso ,lupus eritematoso,Lúpus eritematoso,11
Doença de BC,doenca de bc,Doença de BC,2
"Artrite Reumatoide, Artrose","artrite reumatoide, artrose","Artrite reumatoide, Artrose",1
"Artrite Reumatoide, Artrose, Fibromialgia, Lúpus Eritematoso","artrite reumatoide, artrose, fibromialgia, lupus eritematoso","Artrite reumatoide, Artrose, Fibromialgia, Lúpus eritematoso",1
Artrose,artrose,Artrose,1
"Fibromialgia, Artrose, Osteoporose","fibromialgia, artrose, osteoporose","Fibromialgia, Artrose, Osteoporose",1
"Lúpus Eritematoso , Fibromialgia","lupus eritematoso, fibromialgia","Lúpus eritematoso, Fibromialgia",1
Lúpus Eritematoso e fibromialgia,lupus eritematoso e fibromialgia,"Lúpus eritematoso, Fibromialgia",1
Osteoporose,osteoporose,Osteoporose,1
"Osteoporose, Arterite Temporal, Artrose","osteoporose, arterite temporal, artrose","Osteoporose, Arterite temporal, Artrose",1
SAF (síndrome antifosfolipídica),saf (sindrome antifosfolipidica),Síndrome antifosfolipídica (SAF),1
em descoberta,em descoberta,Em descoberta,1
